School_Name,EMIS,District,Enrolment,Boys,Girls,Total_Toilets_available,Teachers_toilets,Girls_toilets,Boys_toilets,Urinals,Pit_toilets,VIP_toilets,Flushing_toilets,Enviro_toilets,Sanitation_Plan,Construction,Water,Notes
,,,,,,,,,,,,,,,,,,
AM Mashego Secondary School,924650580,Sekhukhune,1052,529,523,12,0,0,0,0,12,0,0,0,No,n/a,Yes,School needs new toilets and an administration block. 
Arethabeng Primary School,925661580,Sekhukhune,304,166,138,2,0,1,1,0,2,0,0,0,Yes,In progress,Not enough,"Pit toilets are full and collapsing. 
14/04: Construction in progress for 3 blocks of VIP toilets. No furniture delivered. 
08/05: Construction of toilets still in progress."
Baropodi Primary School,925660044,Sekhukhune,1247,647,600,24,0,12,12,0,24,0,0,0,Yes,In progress,No ,"08/05: VIP toilets complete, basins are being installed. Learners are using the toilets. School needs training on how to clean VIP toilets.   Furniture delivered in October 2013 remains unassembled. "
Bessie Maake Secondary School,926540010,Mopani,548,202,346,4,0,2,2,0,4,0,0,0,Yes,In progress,Yes,Department provided furniture. The school needs another 9 teachers. 18/03/2014: Contractors are now on site and have started construction. 14/04: Construction of 3 blocks still in progress. 
Bopedibapedi High School,924640064,Sekhukhune,771,392,379,16,0,0,0,0,0,16,0,0,No*,Complete,Yes,
Burghersdorp Junior Secondary School,915541587,Mopani,308,151,157,10,0,0,0,0,0,10,0,0,No*,Complete,Yes,Missing textbooks.
Chamandu Secondary School,921410065,Mopani,432,219,213,20,0,0,0,0,0,20,0,0,Yes,Complete,Yes,Need 201 desks and chairs. 
Davhana Secondary School,930321202,Vhembe,396,201,195,16,0,0,0,0,0,16,0,0,Yes,Complete,Yes,Received 125 unassembled desks in January 2014. Still need office furniture for the teachers - 15 tables and chairs. 11/04: 4 blocks of toilets complete and in use. 08/05: Furniture assembled. 
Dipitsi Primary School,925620084,Sekhukhune,525,275,250,18,0,10,8,0,0,18,0,0,Yes,Complete,Yes,"They have insufficient classrooms, some of the classroom blocks are dilapidated. They are on the furniture plan.  Furniture was delivered in October 2014. "
Dithamaga Primary School ,996606602,Sekhukhune,94,43,51,12,0,0,0,0,12,0,0,0,Yes,No construction,Yes,"Learners toilets are almost full. No chemicals to clean toilets. They don’t have enough classrooms, two grades are sharing. 14/04 Toilet construction has still not started. Have not heard anything from the LDoE. 08/05: Construction of toilets has not begun. "
Dzamba Primary School,929311052,Vhembe,101,51,50,4,0,0,0,0,4,0,0,0,Yes,No construction,Yes,"Don’t have offices for educators. They only have 4 teachers. 
08/05: Construction of toilets has not started. Need 50 desks for learners. "
Eiland Primary School,906120171,Waterberg,84,44,40,4,1,2,1,0,0,4,0,0,Yes,Complete ,No water,"08/05 One of the toilets is leaking and the doors do not open. Learners cannot access the toilets and so use the bush. They need more teachers for Foundation Phase, but they understand they have a low enrollment – the LDE won’t help for this reason. Security fence is in poor condition. The school does not have anywhere to cook food. "
Gadabi Primary School,928330039,Vhembe,65,34,31,4,4,0,0,0,4,0,0,0,Yes,,Yes,"Learners are using the bush. They are on the new plan. 
08/05: no longer cooperative."
Gonela Primary School,930361019,Vhembe,325,164,161,4,0,0,0,0,4,0,0,0,No,n/a,Yes,Need classrooms (10). Pit toilets are dilapidated. 
Hanyani Thomo Secondary School,916410188,Mopani,1629,817,812,49,8,0,0,0,0,0,21,20,Yes,Complete,Yes,Water pressure too low for toilets to flush. Shortfall of 800 desks and chairs. 
Hlopha Primary School,924651330,Sekhukhune,89,89,83,8,4,2,2,0,8,0,0,0,Yes,No construction,Yes,"Pit toilets are in poor condition. 
08/05: Construction of toilets has still not commenced."
Hlovani High School,916410294,Vhembe,255,129,126,4,4,0,0,0,0,0,0,0,Yes,In progress,Yes,"No toilets for learners; the learners use the bush.
08/05: construction of 3 blocks toilets has commenced."
Hluvuka High School,912520078,Vhembe ,1354,665,689,12,0,0,0,0,12,0,0,0,Yes,No construction,Yes,"They have been informed that 10 new classrooms will be constructed. Handover of site was supposed to have happened on 7 February 2014 but has not happened yet. Furniture was delivered in week of 10 February 2014. 
08/05: no construction of toilets, still no handover of site. "
Humbelani Secondary School,928330954,Vhembe,560,282,278,19,0,10,9,0,0,19,0,0,Yes,Complete,Yes,"The school has received furniture, but it has not been assembled. "
Jack Mashamba Primary School,915530532,Mopani,156,92,64,10,2,0,0,0,0,0,0,0,Yes,Complete,Yes,08/05: Repairs to the roof have not yet commenced.
Jaji Secondary School,912521532,Vhembe,230,118,112,12,0,6,6,0,0,12,0,0,Yes,Complete,No,"No water, no electricity. Still using mobile classrooms because repairs are not yet complete. 
08/05: nothing is happening with the roof"
Kanana Primary School,922210234,Capricorn,303,148,155,8,0,4,4,0,0,8,0,0,Yes,Complete,Yes,Buildings are dilapidated. The school does not have a kitchen.
Kgampi Primary School,923260284,Capricorn,581,286,295,18,0,0,0,0,0,18,0,0,Yes,Complete,Yes,
Kheto Nxumalo Agricultural High School,916410379,Mopani,740,373,367,24,0,0,0,0,0,0,24,0,No,n/a,No ,"The flush toilets not working because of insufficient water, so learners are relieving themselves in the bushes. Buildings are dilapidated. Post-provisioning – need three more teachers. "
